Index,Entry-Date,Entry-Weekday,Entry-Time,Entry-Price,Quantity,Instrument-Kind,StrikePrice,Position,ExitDate,Exit-Weekday,ExitTime,ExitPrice,P/L,P/L-Percentage,ExpiryDate,Remarks,Highest-From-Entry-To-Exit,Lowest-From-Entry-To-Exit
37.1,22-02-2018,Thursday,09:25:00,95.5,15,CE,24800,Sell,22-02-2018,Thursday,15:02:00,105.5,-150,-10.47120419,22-02-2018,Stop Loss Hit,128.45,30.5
37.2,22-02-2018,Thursday,09:25:00,71.3,15,PE,24800,Sell,22-02-2018,Thursday,15:19:00,0.05,1068.75,99.92987377,22-02-2018,Exit Condition Met For Trade,75,0.05
38,23-02-2018,,09:25:00,25100.3,,,,,23-02-2018,,15:19:00,25313.55,600,,,Exit Condition Met For Trade,25321.3,25071.45
38.1,23-02-2018,Friday,09:25:00,185.15,15,CE,25100,Sell,23-02-2018,Friday,11:40:00,247.15,-930,-33.48636241,01-03-2018,Stop Loss Hit,247.5,171.85
38.2,23-02-2018,Friday,09:25:00,182.6,15,PE,25100,Sell,23-02-2018,Friday,15:19:00,80.6,1530,55.85980285,01-03-2018,Exit Condition Met For Trade,190,79.85
39,26-02-2018,,09:25:00,25416.5,,,,,26-02-2018,,15:19:00,25695.6,375,,,Exit Condition Met For Trade,25722.15,25381.2
39.1,26-02-2018,Monday,09:25:00,169.1,15,CE,25400,Sell,26-02-2018,Monday,10:28:00,222.1,-795,-31.34240095,01-03-2018,Stop Loss Hit,227.45,146.85
39.2,26-02-2018,Monday,09:25:00,126,15,PE,25400,Sell,26-02-2018,Monday,15:19:00,48,1170,61.9047619,01-03-2018,Exit Condition Met For Trade,140.6,41.8
40,27-02-2018,,09:25:00,25696.3,,,,,27-02-2018,,15:19:00,25382.5,617.25,,,Exit Condition Met For Trade,25705.7,25356.4
40.1,27-02-2018,Tuesday,09:25:00,134.95,15,CE,25700,Sell,27-02-2018,Tuesday,15:19:00,23.8,1667.25,82.36383846,01-03-2018,Exit Condition Met For Trade,142,21.3
40.2,27-02-2018,Tuesday,09:25:00,127,15,PE,25700,Sell,27-02-2018,Tuesday,09:35:00,197,-1050,-55.11811024,01-03-2018,Stop Loss Hit,202.5,121.1
41,28-02-2018,,09:25:00,25012.1,,,,,28-02-2018,,15:19:00,25103.9,938.25,,,Exit Condition Met For Trade,25192.95,24942
41.1,28-02-2018,Wednesday,09:25:00,134.5,15,CE,25000,Sell,28-02-2018,Wednesday,14:15:00,145.5,-165,-8.178438662,01-03-2018,Stop Loss Hit,175.8,70.1
41.2,28-02-2018,Wednesday,09:25:00,117.75,15,PE,25000,Sell,28-02-2018,Wednesday,15:19:00,44.2,1103.25,62.46284501,01-03-2018,Exit Condition Met For Trade,125.45,27.55
42,01-03-2018,,09:25:00,25202.6,,,,,01-03-2018,,15:19:00,24910.5,84,,,Exit Condition Met For Trade,25226.05,24873.45
42.1,01-03-2018,Thursday,09:25:00,69.65,15,CE,25200,Sell,01-03-2018,Thursday,15:19:00,0.05,1044,99.92821249,01-03-2018,Exit Condition Met For Trade,82.3,0.05
42.2,01-03-2018,Thursday,09:25:00,68.75,15,PE,25200,Sell,01-03-2018,Thursday,10:11:00,132.75,-960,-93.09090909,01-03-2018,Stop Loss Hit,166.3,57.55
43,05-03-2018,,09:25:00,24771.1,,,,,05-03-2018,,15:19:00,24811.05,-587.25,,,Exit Condition Met For Trade,24873.05,24699.05
43.1,05-03-2018,Monday,09:25:00,175.3,15,CE,24800,Sell,05-03-2018,Monday,15:19:00,206.45,-467.25,-17.76953793,08-03-2018,Exit Condition Met For Trade,233.95,160.45
43.2,05-03-2018,Monday,09:25:00,250.9,15,PE,24800,Sell,05-03-2018,Monday,10:38:00,258.9,-120,-3.188521323,08-03-2018,Stop Loss Hit,262.7,183
44,06-03-2018,,09:25:00,25013.2,,,,,06-03-2018,,15:19:00,24461.05,1362,,,Exit Condition Met For Trade,25030.3,24440.5
44.1,06-03-2018,Tuesday,09:25:00,179.35,15,CE,25000,Sell,06-03-2018,Tuesday,15:19:00,20.55,2382,88.54195707,08-03-2018,Exit Condition Met For Trade,184.45,18.05
44.2,06-03-2018,Tuesday,09:25:00,141.95,15,PE,25000,Sell,06-03-2018,Tuesday,10:29:00,209.95,-1020,-47.90419162,08-03-2018,Stop Loss Hit,211.8,134.7
